iter	Passed	Remaining
1161	1484	4902
1162	1485	4900
1163	1486	4899
1164	1487	4898
1165	1489	4896
1166	1490	4894
1167	1491	4892
1168	1492	4890
1169	1493	4888
1170	1494	4887
1171	1495	4885
1172	1496	4883
1173	1498	4882
1174	1499	4880
1175	1500	4878
1176	1501	4877
1177	1502	4876
1178	1504	4874
1179	1505	4872
1180	1506	4872
1181	1508	4873
1182	1510	4873
1183	1511	4872
1184	1513	4871
1185	1514	4869
1186	1515	4868
1187	1516	4866
1188	1518	4865
1189	1519	4863
1190	1520	4862
1191	1521	4860
1192	1522	4858
1193	1523	4857
1194	1524	4855
1195	1526	4853
1196	1527	4852
1197	1528	4850
1198	1529	4848
1199	1530	4847
1200	1531	4845
1201	1533	4844
1202	1534	4842
1203	1535	4840
1204	1536	4838
1205	1537	4837
1206	1539	4836
1207	1540	4834
1208	1541	4832
1209	1542	4831
1210	1543	4829
1211	1544	4827
1212	1545	4825
1213	1546	4823
1214	1548	4822
1215	1549	4820
1216	1550	4819
1217	1551	4817
1218	1552	4815
1219	1553	4813
1220	1554	4812
1221	1555	4810
1222	1556	4808
1223	1558	4807
1224	1559	4805
1225	1560	4803
1226	1561	4802
1227	1562	4800
1228	1564	4799
1229	1565	4797
1230	1566	4795
1231	1567	4793
1232	1568	4791
1233	1569	4790
1234	1570	4788
1235	1571	4786
1236	1572	4784
1237	1573	4782
1238	1575	4781
1239	1576	4779
1240	1577	4777
1241	1578	4776
1242	1579	4775
1243	1581	4773
1244	1582	4771
1245	1583	4769
1246	1584	4767
1247	1585	4765
1248	1586	4763
1249	1587	4762
1250	1588	4760
1251	1589	4758
1252	1590	4756
1253	1591	4754
1254	1592	4753
1255	1594	4751
1256	1595	4749
1257	1596	4747
1258	1597	4746
1259	1598	4744
1260	1599	4743
1261	1600	4741
1262	1601	4739
1263	1603	4737
1264	1604	4736
1265	1605	4734
1266	1606	4732
1267	1607	4730
1268	1608	4729
1269	1609	4727
1270	1610	4725
1271	1611	4723
1272	1612	4721
1273	1613	4720
1274	1614	4718
1275	1616	4716
1276	1617	4714
1277	1618	4714
1278	1620	4714
1279	1622	4715
1280	1624	4717
1281	1625	4715
1282	1627	4714
1283	1628	4712
1284	1629	4710
1285	1630	4709
1286	1631	4708
1287	1633	4706
1288	1634	4704
1289	1635	4702
1290	1636	4700
1291	1637	4699
1292	1638	4698
1293	1639	4696
1294	1641	4695
1295	1642	4694
1296	1643	4692
1297	1644	4690
1298	1645	4688
1299	1646	4687
1300	1648	4685
1301	1649	4684
1302	1650	4682
1303	1651	4680
1304	1652	4678
1305	1653	4676
1306	1654	4675
1307	1655	4673
1308	1656	4671
1309	1658	4670
1310	1659	4668
1311	1660	4667
1312	1661	4665
1313	1662	4663
1314	1663	4661
1315	1664	4659
1316	1665	4658
1317	1668	4660
1318	1669	4659
1319	1670	4657
1320	1671	4655
1321	1673	4654
1322	1674	4653
1323	1675	4651
1324	1676	4649
1325	1677	4648
1326	1678	4647
1327	1680	4645
1328	1681	4643
1329	1682	4641
1330	1683	4640
1331	1684	4638
1332	1685	4636
1333	1686	4634
1334	1687	4633
1335	1688	4631
1336	1690	4630
1337	1691	4628
1338	1692	4627
1339	1693	4625
1340	1694	4623
1341	1695	4621
1342	1696	4620
1343	1698	4619
1344	1699	4617
1345	1700	4616
1346	1701	4614
1347	1702	4612
1348	1703	4610
1349	1704	4609
1350	1706	4608
1351	1707	4606
1352	1708	4605
1353	1709	4603
1354	1710	4602
1355	1711	4600
1356	1712	4598
1357	1714	4597
1358	1715	4595
1359	1716	4593
1360	1717	4591
1361	1718	4590
1362	1719	4589
1363	1720	4587
1364	1722	4585
1365	1723	4584
1366	1724	4582
1367	1725	4580
1368	1726	4579
1369	1727	4577
1370	1728	4576
1371	1729	4574
1372	1731	4572
1373	1732	4571
1374	1733	4569
1375	1734	4568
1376	1735	4566
1377	1736	4565
1378	1738	4563
1379	1739	4562
1380	1740	4560
1381	1741	4558
1382	1742	4557
1383	1743	4555
1384	1744	4553
1385	1745	4552
1386	1746	4550
1387	1747	4548
1388	1749	4547
1389	1750	4546
1390	1751	4544
1391	1752	4543
1392	1753	4541
1393	1755	4539
1394	1756	4538
1395	1757	4536
1396	1758	4534
1397	1759	4533
1398	1760	4531
1399	1761	4529
1400	1763	4529
1401	1764	4528
1402	1765	4526
1403	1766	4524
1404	1767	4522
1405	1769	4522
1406	1770	4520
1407	1771	4519
1408	1772	4517
1409	1773	4515
1410	1774	4513
1411	1775	4512
1412	1776	4510
1413	1777	4509
1414	1779	4508
1415	1780	4506
1416	1781	4505
1417	1782	4503
1418	1784	4502
1419	1785	4501
1420	1786	4499
1421	1787	4497
1422	1788	4496
1423	1789	4494
1424	1790	4492
1425	1791	4491
1426	1793	4489
1427	1794	4487
1428	1795	4486
1429	1796	4485
1430	1798	4486
1431	1799	4484
1432	1801	4483
1433	1802	4481
1434	1803	4480
1435	1804	4479
1436	1805	4477
1437	1807	4476
1438	1808	4474
1439	1809	4473
1440	1810	4472
1441	1811	4470
1442	1812	4468
1443	1814	4467
1444	1815	4465
1445	1816	4464
1446	1817	4462
1447	1818	4460
1448	1819	4459
1449	1820	4458
1450	1822	4456
1451	1823	4455
1452	1824	4453
1453	1825	4451
1454	1826	4449
1455	1827	4448
1456	1828	4446
1457	1829	4445
1458	1831	4444
1459	1832	4442
1460	1833	4441
1461	1834	4440
1462	1835	4438
1463	1836	4436
1464	1838	4435
1465	1839	4433
1466	1840	4432
1467	1841	4430
1468	1842	4428
1469	1843	4427
1470	1844	4425
1471	1845	4424
1472	1846	4422
1473	1848	4420
1474	1849	4419
1475	1850	4418
1476	1851	4416
1477	1852	4414
1478	1853	4413
1479	1854	4411
1480	1855	4409
1481	1856	4407
1482	1857	4406
1483	1859	4405
1484	1860	4403
1485	1861	4403
1486	1863	4401
1487	1864	4399
1488	1865	4398
1489	1866	4396
1490	1867	4394
1491	1868	4393
1492	1869	4392
1493	1870	4390
1494	1872	4388
1495	1873	4387
1496	1874	4385
1497	1875	4383
1498	1876	4381
1499	1877	4380
1500	1878	4379
1501	1879	4378
1502	1881	4376
1503	1882	4374
1504	1883	4373
1505	1884	4371
1506	1885	4369
1507	1886	4368
1508	1887	4366
1509	1888	4365
1510	1889	4364
1511	1891	4362
1512	1892	4360
1513	1893	4359
1514	1894	4358
1515	1895	4356
1516	1896	4354
1517	1897	4353
1518	1898	4351
1519	1900	4350
1520	1901	4348
1521	1902	4347
1522	1903	4345
1523	1904	4343
1524	1906	4343
1525	1907	4341
1526	1908	4340
1527	1909	4339
1528	1910	4337
1529	1911	4335
1530	1912	4333
1531	1913	4332
1532	1914	4330
1533	1915	4328
1534	1916	4327
1535	1917	4325
1536	1919	4323
1537	1920	4322
1538	1921	4321
1539	1922	4319
1540	1923	4317
1541	1924	4316
1542	1925	4314
1543	1927	4313
1544	1928	4311
1545	1929	4309
1546	1930	4308
1547	1932	4308
1548	1933	4306
1549	1934	4304
1550	1935	4303
1551	1936	4301
1552	1937	4300
1553	1938	4298
1554	1939	4297
1555	1941	4296
1556	1942	4294
1557	1943	4293
1558	1944	4291
1559	1945	4290
1560	1946	4288
1561	1948	4287
1562	1949	4286
1563	1950	4285
1564	1951	4284
1565	1952	4282
1566	1954	4281
1567	1955	4279
1568	1956	4278
1569	1958	4277
1570	1959	4276
1571	1960	4275
1572	1961	4273
1573	1962	4271
1574	1963	4270
1575	1964	4268
1576	1965	4267
1577	1966	4265
1578	1968	4263
1579	1969	4262
1580	1970	4261
1581	1971	4259
1582	1973	4259
1583	1974	4257
1584	1975	4256
1585	1976	4255
1586	1977	4253
1587	1979	4252
1588	1980	4251
1589	1981	4249
1590	1982	4247
1591	1983	4246
1592	1984	4245
1593	1985	4243
1594	1987	4241
1595	1988	4240
1596	1989	4239
1597	1990	4238
1598	1991	4236
1599	1993	4235
1600	1994	4233
1601	1995	4231
1602	1996	4230
1603	1997	4228
1604	1998	4227
1605	1999	4225
1606	2000	4224
1607	2002	4223
1608	2003	4221
1609	2004	4220
1610	2005	4218
1611	2006	4217
1612	2007	4215
1613	2008	4213
1614	2009	4212
1615	2012	4213
1616	2013	4212
1617	2014	4211
1618	2015	4209
1619	2017	4208
1620	2018	4206
1621	2019	4205
1622	2021	4205
1623	2022	4203
1624	2023	4202
1625	2024	4200
1626	2025	4198
1627	2026	4197
1628	2027	4195
1629	2028	4194
1630	2029	4193
1631	2031	4191
1632	2032	4190
1633	2033	4188
1634	2034	4187
1635	2035	4186
1636	2037	4184
1637	2038	4183
1638	2039	4181
1639	2040	4180
1640	2041	4178
1641	2042	4177
1642	2043	4175
1643	2044	4174
1644	2045	4172
1645	2047	4171
1646	2048	4170
1647	2049	4168
1648	2050	4167
1649	2052	4166
1650	2053	4166
1651	2055	4164
1652	2056	4164
1653	2057	4162
1654	2058	4161
1655	2061	4162
1656	2063	4162
1657	2064	4161
1658	2065	4160
1659	2067	4159
1660	2068	4158
1661	2070	4157
1662	2071	4156
1663	2072	4154
1664	2073	4153
